City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,niono,14.2526,-5.993,28.4,16,0,3.74,ML,1682306921
84,arraial do cabo,-22.9661,-42.0278,22.5,69,0,1.75,BR,1682306922
85,marfino,55.7028,37.3822,10.46,75,0,1.0,RU,1682306922
86,vaini,-21.2,-175.2,28.09,74,75,4.63,TO,1682306922
87,kodiak,57.79,-152.4072,1.73,48,100,9.26,US,1682306922
88,kieta,-6.2167,155.6333,29.65,72,27,2.13,PG,1682306922
89,padang,-0.9492,100.3543,30.03,67,62,1.31,ID,1682306922
90,amalapuram,16.5833,82.0167,31.41,60,1,2.48,IN,1682306922
91,kapaa,22.0752,-159.319,26.99,87,100,2.57,US,1682306922
92,beitbridge,-22.2167,30.0,19.11,84,4,4.96,ZW,1682306923
93,mattawa,46.7379,-119.9028,14.34,70,92,5.38,US,1682306923
94,lyuban,52.7985,28.0048,10.01,72,95,2.95,BY,1682306923
95,saldanha,-33.0117,17.9442,16.03,96,100,5.41,ZA,1682306923
96,qui nhon,13.7667,109.2333,29.03,69,100,3.61,VN,1682306923
97,waingapu,-9.6567,120.2641,29.02,69,59,6.62,ID,1682306923
98,pangody,65.85,74.4859,0.16,100,100,4.15,RU,1682306923
99,sitka,57.0531,-135.33,6.94,81,100,3.6,US,1682306924
100,kaeo,-35.1,173.7833,17.96,65,0,5.67,NZ,1682306924
101,mirnyy,62.5353,113.9611,0.13,43,15,4.02,RU,1682306924
102,elesbao veloso,-6.2019,-42.1403,21.82,63,100,1.07,BR,1682306924
103,chokurdakh,70.6333,147.9167,-3.29,88,100,4.76,RU,1682306924
104,rethimnon,35.3647,24.4714,11.79,68,71,0.87,GR,1682306925
105,morehead,37.2711,-87.1764,4.99,86,0,0.0,US,1682306925
106,papara,-3.9839,-38.7273,25.22,89,100,1.42,BR,1682306925
107,nanortalik,60.1432,-45.2371,0.3,88,96,0.67,GL,1682306925
108,somova,45.1833,28.6667,4.16,81,68,1.54,RO,1682306925
109,nikolskoye,59.7035,30.7861,11.56,76,9,3.28,RU,1682306925
110,patiya,22.2931,91.9762,28.97,70,75,2.57,BD,1682306925
111,qaanaaq,77.484,-69.3632,-13.99,73,43,3.27,GL,1682306925
112,harrai,22.6167,79.2167,27.66,41,77,7.13,IN,1682306925
113,saint anthony,45.0205,-93.218,3.77,61,75,0.0,US,1682306926
114,verkhnevilyuysk,63.4453,120.3167,-0.75,82,22,3.71,RU,1682306926
115,cockburn town,21.4612,-71.1419,25.34,72,1,3.75,TC,1682306926
116,coquimbo,-29.9533,-71.3436,13.85,94,75,1.54,CL,1682306874
117,salalah,17.0151,54.0924,28.05,74,0,1.03,OM,1682306926
118,barrow,71.2906,-156.7887,-15.99,78,75,4.63,US,1682306926
119,cape town,-33.9258,18.4232,18.4,92,75,6.69,ZA,1682306927
120,pisco,-13.7,-76.2167,22.03,83,0,3.09,PE,1682306927
121,tikrit,34.6071,43.6782,24.48,40,100,1.55,IQ,1682306927
122,livani,56.3543,26.1758,8.82,75,7,3.21,LV,1682306927
123,matara,5.9485,80.5353,28.15,78,99,0.37,LK,1682306927
124,iqaluit,63.7506,-68.5145,0.85,93,100,1.54,CA,1682306927
125,williams lake,52.1415,-122.1445,9.76,71,100,4.63,CA,1682306928
126,gizo,-8.103,156.8419,29.22,73,82,1.29,SB,1682306715
127,smithers,54.7804,-127.1743,7.18,87,100,1.54,CA,1682306709
128,lorengau,-2.0226,147.2712,29.78,71,99,4.09,PG,1682306928
129,camana,-16.6228,-72.7111,21.09,88,11,3.25,PE,1682306928
130,ilulissat,69.2167,-51.1,0.01,100,100,3.09,GL,1682306928
131,kokopo,-4.352,152.2633,28.97,68,65,2.22,PG,1682306928
132,warrnambool,-38.3833,142.4833,24.63,56,0,1.41,AU,1682306928
133,dawson creek,55.7666,-120.2362,6.8,70,100,3.09,CA,1682306928
134,hithadhoo,-0.6,73.0833,28.79,72,100,2.42,MV,1682306929
